,characteristics,frequency,percentage
0,sweet,2,0.1
10,dairy,1,0.05
17,woody,1,0.05
16,smokey,1,0.05
15,earthy,1,0.05
14,spice,1,0.05
13,caramel,1,0.05
12,mild sour,1,0.05
11,cocoa,1,0.05
9,banana raspberry,1,0.05
1,dirty,1,0.05
8,high roast,1,0.05
7,sour,1,0.05
6,savory,1,0.05
5,grassy,1,0.05
4,chemical off note,1,0.05
3,fruit,1,0.05
2,off notes,1,0.05
18,tobacco,1,0.05
