Company (Manufacturer),mean cocoa percent,median cocoa percent,max cocoa percent,min cocoa percent
Benoit Nihant,73.16666666666667,73.5,74.0,72.0
Odyssey,73.07692307692308,70.0,100.0,70.0
Cuna de Piedra,73.0,73.0,73.0,73.0
Zotter,73.0,73.5,75.0,70.0
Cloudforest,73.0,73.0,73.0,73.0
Madre,73.0,73.0,73.0,73.0
Chocolibrium,73.0,73.0,76.0,70.0
Rogue,72.8125,72.5,80.0,70.0
Hogarth,72.66666666666667,71.0,85.0,66.0
Montecristi,72.66666666666667,70.0,85.0,63.0
Sublime Origins,72.5,72.5,78.0,67.0
Belvie,72.5,72.5,75.0,70.0
Solomons Gold,72.5,72.5,75.0,70.0
Shattell,72.5,72.5,75.0,70.0
Tala,72.5,72.5,75.0,70.0
Beau Cacao,72.5,72.5,73.0,72.0
Loon,72.5,72.5,75.0,70.0
Ocelot,72.5,72.5,75.0,70.0
Great Lakes,72.5,72.5,75.0,70.0
Cacaosuyo,72.5,70.0,80.0,70.0
Ninth (9th) & Larkin,72.4,72.0,74.0,72.0
Wellington Chocolate Factory,72.33333333333333,70.0,77.0,70.0
Monsoon,72.33333333333333,72.0,75.0,70.0
Palette de Bine,72.2,72.0,78.0,70.0
organicfair,72.16666666666667,72.0,74.0,71.0
Wm,72.16666666666667,72.0,76.0,68.0
Chocolate Con Amor,72.14285714285714,70.0,80.0,60.0
Manufaktura Czekolady,72.14285714285714,70.0,85.0,70.0
Cemoi,72.0,72.0,72.0,72.0
Desbarres,72.0,72.0,72.0,72.0
Forever Cacao,72.0,72.0,72.0,72.0
Maribea,72.0,72.0,72.0,72.0
Bahen & Co.,72.0,70.0,80.0,70.0
Quetzalli (Wolter),72.0,72.0,74.0,70.0
Timo A. Meyer,72.0,72.0,72.0,72.0
La Oroquidea,72.0,72.0,72.0,72.0
Treehouse,72.0,72.0,72.0,72.0
Svenska Kakaobolaget,72.0,72.0,74.0,70.0
Cacao Betulia,72.0,72.0,72.0,72.0
Dalloway,72.0,72.0,72.0,72.0
Luisa's Vegan,72.0,72.0,72.0,72.0
