,Most Memorable Characteristics
2,"pastey, bitter, unfixable"
21,"vanilla, strong chemical"
27,"very nutty, very bitter"
39,"sticky, intense, very bitter"
59,"acidic, bitter, dry"
60,"cardboard, very bitter, floral"
66,"bitter, cocoa"
73,"chalky, musty, very bitter"
79,high intensity bitter
80,this is not chocolate
1098,"cocoa, dominate off note"
1315,"perfume, strong chemical"
